,filename,imageID,xy_pix_size,z_pix_size,PinholeSize,ch_size,channels
396,2017Feb07_Jupiter_003917.mvd2 [2017Feb07_Jupiter_003917_YFP_newdlg_syp_VNC_dorsal_60x],244041,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
397,2017Feb07_Jupiter_003917.mvd2 [2017Feb07_OrR_newdlg_syp_CB_dorsal_60x],244042,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
398,2017Feb10_Mew_001678.mvd2 [2017Feb10_Mew_001678_YFP_syp_dlg_CB_dorsal_60x],244523,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
399,2017Feb10_Mew_001678.mvd2 [2017Feb10_Mew_001678_YFP_syp_dlg_anlagen_dorsal_60x],244525,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
400,2017Feb10_Mew_001678.mvd2 [2017Feb10_Mew_001678_YFP_syp_dlg_VNC_centre_dorsal_60x],244526,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
401,2017Feb10_Mew_001678.mvd2 [2017Feb10_OrR_syp_dlg_OL_dorsal_60x],244531,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
402,2017Feb09_Flo-2_001427_YFP_dlg_syp_20x.czi,244625,1.037832280124744,5.0,0,3,"['405.00000000000006', '561.0', '488.00000000000006', 0, 'ChS1-T1', 'ChS3-T2', 'ChS2-T3', 0]"
403,2017Feb09_gish_002023_new_YFP_dlg_syp_20x.czi,244627,1.037832280124744,5.0,0,3,"['405.00000000000006', '561.0', '488.00000000000006', 0, 'ChS1-T1', 'ChS3-T2', 'ChS2-T3', 0]"
404,2017Feb09_Jupiter_003917_YFP_syp_dlg_20x.czi,244628,1.037832280124744,5.0,0,3,"['405.00000000000006', '561.0', '488.00000000000006', 0, 'ChS1-T1', 'ChS3-T2', 'ChS2-T3', 0]"
405,2017Feb09_OrR_dlg_syp_20x.czi,244631,1.037832280124744,5.0,0,3,"['405.00000000000006', '561.0', '488.00000000000006', 0, 'ChS1-T1', 'ChS3-T2', 'ChS2-T3', 0]"
406,2017feb14_Moca-cyp_000049.mvd2 [2017Feb14_OrR_dlg_syp_VNC_ventral_60x],245919,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'FarRed', 'RFP', 'GFP', 'DAPI']"
407,Blank picture.001.tiff,283965,0,0,0,4,"[0, 0, 0, 0, 0, 0, 0, 0]"
408,20170830_4152.mvd2 [20170830_4152_1_brain],318110,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'Far-Red 7', 'GFP', 'RFP', 'DAPI']"
409,20170830_4152.mvd2 [20170830_4152_1_mb],318111,0.13888805165151769,0.4,0,4,"[0, 0, 0, 0, 'Far-Red 7', 'GFP', 'RFP', 'DAPI']"
410,20171123.mvd2 [2017nov23_OrR_YFP_DAPI_DLG_SYP_60x_mb_lobes],406874,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
411,20171123.mvd2 [2017nov23_OrR_YFP_DAPI_DLG_SYP_60x_mb_calyx],406875,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
412,20171123.mvd2 [2017nov23_OrR_YFP_DAPI_DLG_SYP_60x_cb_anlagen],406876,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
413,20171123.mvd2 [2017nov23_OrR_YFP_DAPI_DLG_SYP_60x_cb_nbs],406877,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
414,20171123.mvd2 [2017nov23_OrR_YFP_DAPI_DLG_SYP_60x_OL],406879,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
415,20171123.mvd2 [2017nov23_CPTI-002636_YFP_DAPI_DLG_SYP_60x_mb_calyx],406880,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
416,20171123.mvd2 [2017nov23_CPTI-002636_YFP_DAPI_DLG_SYP_60x_CB_anlagen],406881,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
417,20171123.mvd2 [2017nov23_CPTI-002636_YFP_DAPI_DLG_SYP_60x_CB_nbs],406882,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
418,20171123.mvd2 [2017nov23_CPTI-002636_YFP_DAPI_DLG_SYP_60x_mb_lobes],406885,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
419,20171123.mvd2 [2017nov23_CPTI-002636_YFP_DAPI_DLG_SYP_60x_ol2],406887,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
420,20171121.mvd2 [2017nov21_CPTI001039_YFP_DAPI_DLG_SYP_60x_mb_calyx],406893,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
421,20171121.mvd2 [2017nov21_CPTI001039_YFP_DAPI_DLG_SYP_60x_cb_anlagen],406894,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
422,20171121.mvd2 [2017nov21_CPTI001039_YFP_DAPI_DLG_SYP_60x_cb_nbs],406895,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
423,20171121.mvd2 [2017nov21_CPTI001039_YFP_DAPI_DLG_SYP_60x_OL],406896,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
424,20171121.mvd2 [2017nov21_CPTI001039_YFP_DAPI_DLG_SYP_60x_mb_lobes],406898,0.13888805165151769,0.2,0,4,"[0, 0, 0, 0, 'Cy5', 'GFP', 'RFP', 'DAPI']"
